2026-05-07 00:05:53.101,req-0006001,user-033,tokenexchange,401,28.133,eastus,8h
2026-05-07 00:06:27.702,req-0006002,user-047,login,401,28.673,westus,1h
2026-05-07 00:06:48.990,req-0006003,,login,200,59.779,eastus,1h
2026-05-07 00:07:56.005,req-0006004,user-009,login,401,31.350,eastus,
2026-05-07 00:09:14.923,req-0006005,user-043,login,200,59.976,eastus,1h
2026-05-07 00:12:00.711,req-0006006,user-023,userinfo,200,31.138,eastus,8h
2026-05-07 00:14:15.895,req-0006007,user-003,tokenvalidation,401,9.343,eastus,30m
2026-05-07 00:16:37.826,req-0006008,user-045,tokenvalidation,200,11.897,northeurope,24h
2026-05-07 00:18:27.213,req-0006009,,tokenvalidation,200,10.732,southeastasia,30m
2026-05-07 00:21:15.736,req-0006010,user-013,login,200,40.518,southeastasia,4h
2026-05-07 00:21:42.141,req-0006011,,tokenvalidation,500,53.992,northeurope,1h
2026-05-07 00:21:42.591,req-0006012,user-036,login,200,37.600,eastus,4h
2026-05-07 00:24:42.684,req-0006013,user-025,userinfo,200,24.957,eastus,4h
2026-05-07 00:27:08.226,req-0006014,user-002,login,200,28.217,westus,30m
2026-05-07 00:27:23.757,req-0006015,user-009,tokenexchange,200,33.099,eastus,24h
2026-05-07 00:30:23.937,req-0006016,user-042,tokenvalidation,200,9.870,eastus,24h
2026-05-07 00:31:34.988,req-0006017,user-041,login,401,21.244,eastus,2h
2026-05-07 00:32:35.001,req-0006018,user-002,tokenvalidation,200,4.236,westus,
2026-05-07 00:33:11.076,req-0006019,user-018,login,200,28.726,northeurope,24h
2026-05-07 00:33:53.686,req-0006020,user-046,login,200,32.045,eastus,2h
2026-05-07 00:35:28.447,req-0006021,user-042,tokenexchange,500,566.416,westus,24h
2026-05-07 00:37:27.317,req-0006022,user-017,logout,200,16.330,eastus,24h
2026-05-07 00:38:09.622,req-0006023,user-034,login,200,46.922,westus,1h
2026-05-07 00:38:44.006,req-0006024,user-048,userinfo,200,24.891,southeastasia,2h
2026-05-07 00:45:24.455,req-0006025,user-002,tokenvalidation,200,4.686,eastus,2h
2026-05-07 00:45:48.362,req-0006026,user-023,login,400,13.037,eastus,1h
2026-05-07 00:46:41.858,req-0006027,user-016,login,400,16.844,westus,15m
2026-05-07 00:46:41.955,req-0006028,user-037,login,200,26.520,southeastasia,4h
2026-05-07 00:47:03.815,req-0006029,user-014,userinfo,200,20.322,southeastasia,4h
2026-05-07 00:52:51.544,req-0006030,user-014,logout,200,13.214,,15m
2026-05-07 00:54:21.725,req-0006031,user-030,tokenexchange,401,59.583,westus,15m
2026-05-07 00:54:38.967,req-0006032,user-007,tokenvalidation,200,8.021,eastus,2h
2026-05-07 00:56:26.051,req-0006033,user-035,userinfo,200,30.804,eastus,1h
2026-05-07 00:58:17.650,req-0006034,user-030,userinfo,200,29.921,southeastasia,30m
2026-05-07 00:59:11.122,req-0006035,user-032,login,200,45.506,westus,
2026-05-07 00:59:40.284,req-0006036,user-025,tokenexchange,200,51.981,northeurope,24h
2026-05-07 01:01:53.798,req-0006037,user-013,userinfo,200,18.003,westus,24h
2026-05-07 01:02:25.589,req-0006038,user-007,login,401,22.038,westus,24h
2026-05-07 01:04:16.702,req-0006039,user-025,logout,200,21.540,eastus,1h
2026-05-07 01:04:29.453,req-0006040,user-033,userinfo,400,8.221,eastus,24h
2026-05-07 01:06:19.076,req-0006041,user-049,login,400,24.377,westus,1h
2026-05-07 01:07:34.375,req-0006042,user-028,tokenvalidation,200,7.806,eastus,24h
2026-05-07 01:11:22.541,req-0006043,user-022,signup,400,55.521,,1h
2026-05-07 01:15:25.724,req-0006044,user-025,login,200,46.852,eastus,2h
2026-05-07 01:18:07.249,req-0006045,user-042,login,200,35.724,westus,30m
2026-05-07 01:20:12.092,req-0006046,user-048,tokenvalidation,401,5.977,northeurope,2h
2026-05-07 01:20:39.442,req-0006047,user-024,logout,200,18.149,westus,
2026-05-07 01:23:10.700,req-0006048,user-017,logout,200,7.882,northeurope,1h
